id,genre,track_name,artist_name,popularity,valence,energy,danceability,acousticness,tempo,speechiness,mode,instrumentalness
2Gx9hoFSvLApiHdZcR9yuB,ambient,From Trunch to Stromness,Ott,26,0.187,0.658,0.715,0.0828,134.983,0.059,1,0.818
0gch6AYwzLRfoJWci08vsp,ambient,An Ocean and Peril,The Black Atlantic,0,0.0839,0.127,0.772,0.962,121.801,0.0368,1,0.502
3ZzhV6JIDKWvWR7wiKWD0C,ambient,La femme d'argent,Air,59,0.558,0.737,0.517,0.434,79.82,0.0352,0,0.684
541SyZBJoWCWLtllVUQcUw,ambient,Task Force - 2005 Digital Remaster,Brian Eno,0,0.0785,0.402,0.592,0.139,89.769,0.0576,1,0.927
2BlFkslvTtk5PUngzWGtpo,ambient,Krystall,Pjusk,4,0.164,0.221,0.291,0.976,138.763,0.0618,1,0.905
6zYBmqPOc1vB5R4WekqlkR,ambient,The Only Moment We Were Alone,Explosions In The Sky,0,0.0361,0.471,0.296,0.0133,117.268,0.0375,1,0.833
7swx5xLemJWVosynhueQ4Z,ambient,Anthrazit,AES DANA,0,0.149,0.613,0.56,0.501,123.985,0.0362,0,0.881
7m2iqOIBuCT0XvMkv4wYNv,ambient,"Requiem for Dying Mothers, Pt. 2",Stars Of The Lid,35,0.0342,0.133,0.068,0.11,75.012,0.049,1,0.828
4hxlBScGRBIwP7FYjVzBBN,ambient,Fjögur píanó,Sigur Rós,0,0.0396,0.141,0.14,0.844,73.649,0.0403,1,0.846
3x1QE1uiG9wqYL7oBW4C8Z,ambient,Daydream,Tycho,0,0.311,0.824,0.644,0.0769,140.02,0.0364,1,0.979
3lUZ5NtgheTRBhIAAEoVKu,ambient,Sleepless,Marconi Union,39,0.0313,0.209,0.221,0.872,160.171,0.0323,0,0.893
1bq6dvKwiL9Bn8j5tAW3Oi,ambient,Do Androids Dream?,Cleveland Wehle,22,0.0383,0.119,0.0678,0.94,61.429,0.0406,0,0.898
0dh2F3Mi1b1EGafGmvUC9M,ambient,Space Walk,Lemon Jelly,0,0.592,0.89,0.628,0.0877,104.989,0.0302,1,0.449
7yeYlzrGTzmRudvoeqa9qK,ambient,First Dream Called Ocean,Helios,19,0.0557,0.0933,0.273,0.974,70.459,0.0406,1,0.914
5hfG9ztj7AMC4hv1z2CYXK,ambient,Warmed By the Drift,Biosphere,20,0.115,0.197,0.156,0.119,78.354,0.0347,0,0.835
42fGLwbmdlMvpNl1pl2axC,ambient,Jet Stream,Emancipator,0,0.269,0.666,0.543,0.787,101.929,0.0359,0,0.833
04ZbcIONrJTCECTaYrheNB,ambient,Light Through The Veins,Jon Hopkins,0,0.054,0.673,0.445,0.295,126.995,0.0312,0,0.939
1zeqghK8uQXeEbIQJna4NX,ambient,Under Stars II - Remastered 2005,Brian Eno,38,0.0374,0.0514,0.287,0.929,65.648,0.0411,0,0.88
